epoch,gen_loss,disc_loss,psnr,ssim,lpips,dists
1,0.115423694,21.824217,2.193691,0.00054534286,0.9529719756495568,0.7716435258106519
1,0.0876999869942665,37.18681716918945,2.713691711425781,0.0005049417377449,0.9805649563830386,0.759833122453382
1,0.17186591029167175,2.963875889508416e-12,2.1449098587036133,0.000725827703718096,0.8892064158634473,0.754950596440223
2,0.14093317091464996,1.6216200135628876e-14,-0.3483898341655731,-3.444821686571231e-06,0.9920962555434114,0.7476755194766547
3,0.3012394905090332,1.1709883729338344e-08,-0.607229471206665,0.0003264511760789901,0.9742135277358435,0.7263347115567935
4,0.3080691397190094,1.0328292299719928e-32,-0.5920655727386475,0.00041103968396782875,1.0422466076830381,0.7018802640258625
5,0.2189205139875412,0.0,-0.40623754262924194,0.0005434424383565784,1.0127577063857869,0.6860659257058175
6,0.19862619042396545,2.072984443657333e-06,-0.40048280358314514,0.0007749612559564412,0.9878681237979602,0.6786247607200376
7,0.5164598226547241,4.346642187214654e-20,-0.5771796107292175,0.001112287980504334,0.8867604360785536,0.6356423439518097
8,0.37658318877220154,0.0,-0.4085596203804016,0.0013336740667000413,0.9276158995525812,0.652362141557919
9,0.19085104763507843,3.5167719079256357e-34,-0.33749252557754517,0.0015639185439795256,0.8948757270331024,0.6688948600522934
10,0.11848723888397217,1.9079989215242676e-06,-0.10945805162191391,0.0009151071426458657,0.8927832136871994,0.6799177815837245
11,0.4704435467720032,2.197194543946832e-31,0.08730708807706833,0.0007663038559257984,0.9025294973004249,0.6842882139708406
12,0.12450386583805084,0.007594732102006674,-0.40827688574790955,0.0009873606031760573,0.8834647600368787,0.6688651583528006
13,0.16113780438899994,3.3385894417960194e-13,-0.9045417308807373,0.000456096458947286,0.874622618639341,0.6747027847074694
14,0.09596691280603409,0.018315421417355537,-0.9373329877853394,0.0005205419729463756,0.8965451121330261,0.678673844183645
15,0.2214754819869995,0.0,-0.9327387809753418,7.821625331416726e-05,0.8756608091374879,0.650287720464891
16,0.28702080249786377,0.0,-0.8602108955383301,0.002311403863132,0.8872333361256507,0.6394609398739313
17,0.2502906918525696,0.0,-0.6824379563331604,0.0030155014246702194,0.8900623853488635,0.637733135813026
18,0.10591603815555573,0.17666514217853546,-0.5568328499794006,0.002813095459714532,0.878223333948402,0.6397221940819935
19,0.20127174258232117,3.8589640944227403e-38,-0.6448690891265869,0.0017539553809911013,0.9462378012236728,0.6615206464644401
20,0.25681260228157043,0.0,-0.5515448451042175,0.0018967505311593413,0.974123385003818,0.661864697933197
21,0.10837681591510773,89.37481689453125,-0.44769415259361267,0.001944839023053646,0.9721342049619203,0.6349532866990695
22,0.5717395544052124,0.0,-0.35745328664779663,0.0027687055990099907,0.9368226803759093,0.6453309494961974
23,0.343652606010437,0.0,-0.3435191810131073,0.002090469701215625,0.926305195977611,0.6380652381527808
24,0.2131652534008026,0.0,0.0050714630633592606,0.0052198609337210655,0.8028078136905548,0.5611871865487867
25,0.15054383873939514,6.526038134014662e-17,0.4425094723701477,0.00485570915043354,0.8219692046924304,0.5807741957326089
26,0.09118872880935669,0.0016106690745800734,-0.1332079917192459,0.005210369359701872,0.823591430981954,0.5859345998815311
27,0.08871245384216309,0.0006564552895724773,-0.14784689247608185,0.0047886245884001255,0.8212820688883463,0.5853151813630135
28,0.10253061354160309,0.0010824992787092924,-0.19719047844409943,0.0038124120328575373,0.8371737548100051,0.5912111747649408
29,0.10210607200860977,0.001303736469708383,-0.11796536296606064,0.0032763343770056963,0.8672005341899011,0.5961391727129618
30,0.11215528845787048,36.14995574951172,-0.11195313185453415,0.0029165286105126143,0.8740857999811891,0.6037212379517094
31,0.1277570128440857,45.303768157958984,-0.7137633562088013,-0.00021421280689537525,0.9164273392769599,0.6870880088498516
32,0.11487743258476257,33.38908767700195,-0.4615413248538971,-0.00034252426121383905,0.8637114353077386,0.6385778643751657
33,0.18240365386009216,40.62288284301758,0.18695873022079468,0.0021391611080616713,0.8796431486324597,0.5950097928764999
34,0.20415501296520233,1.299097496243462e-10,1.0621294975280762,0.0028697382658720016,0.8995834979959714,0.5909266164225917
35,0.12915416061878204,0.036279402673244476,1.4343783855438232,0.002039001788944006,0.8585348533045861,0.6048823595046997
