epoch,psnr,ssim,lpips,dists
10.0,21.18764179946117,0.24434690177440643,0.5828073024749756,0.3892097473144531
20.0,21.85985548500334,0.3427188992500305,0.5762826204299927,0.39108049869537354
30.0,25.538878878796858,0.41578587889671326,0.43132510781288147,0.3371927738189697
40.0,24.404050764817576,0.33131131529808044,0.48078131675720215,0.29303455352783203
50.0,22.555387757371975,0.2521374523639679,0.5142550468444824,0.3377792239189148
60.0,25.067637891724637,0.2998162806034088,0.41732507944107056,0.3383229970932007
70.0,19.87476339559408,0.42077553272247314,0.45538562536239624,0.34698474407196045
80.0,25.704915774940673,0.35084477066993713,0.45631200075149536,0.3298771381378174
90.0,23.23268052867717,0.4104112982749939,0.4623227119445801,0.3282277584075928
100.0,23.460684273554214,0.41905301809310913,0.4134270250797272,0.34137338399887085
110.0,23.980822600803368,0.3023758828639984,0.4112491011619568,0.2872728705406189
120.0,22.714983103641416,0.3348276913166046,0.42746973037719727,0.29453086853027344
130.0,23.935115020353393,0.3142547607421875,0.4541202783584595,0.3422948122024536
140.0,25.497257452091727,0.3228481113910675,0.2983083426952362,0.23756271600723267
150.0,22.053491437471507,0.2978602945804596,0.4660123288631439,0.30387818813323975
160.0,21.114404632774082,0.42607584595680237,0.4582057297229767,0.30774128437042236
170.0,20.255477673563163,0.4691506326198578,0.46918636560440063,0.33854711055755615
180.0,23.524132429710903,0.25992661714553833,0.4627794921398163,0.29697757959365845
190.0,26.551759269796435,0.3405579924583435,0.34250691533088684,0.312430202960968
200.0,22.489609657877622,0.42035233974456787,0.3751797676086426,0.3091849684715271
210.0,21.20073799870298,0.3815790116786957,0.3758629262447357,0.29057151079177856
220.0,23.202469411141642,0.34280648827552795,0.4486176669597626,0.32645487785339355
230.0,23.24777070524252,0.39919769763946533,0.4609000086784363,0.33167344331741333
240.0,24.28346059802269,0.4040974974632263,0.3494405448436737,0.29552364349365234
250.0,21.82020547568777,0.525499701499939,0.42256805300712585,0.31548476219177246
260.0,22.28814653114238,0.32454389333724976,0.4356386065483093,0.2907494306564331
270.0,27.161356948788814,0.42423996329307556,0.307577908039093,0.2792242765426636
280.0,23.606151305598498,0.3410677909851074,0.3570133447647095,0.3012937307357788
290.0,24.649825278854944,0.3402926027774811,0.4086388051509857,0.2858967185020447
300.0,31.81468678248176,0.2914460599422455,0.3127879500389099,0.2276269793510437
310.0,21.982721637786234,0.3262592852115631,0.4868537485599518,0.3093472719192505
320.0,26.194602596125787,0.5035750865936279,0.39106228947639465,0.3077094554901123
330.0,24.713142194059756,0.39644768834114075,0.3561375141143799,0.25401419401168823
340.0,25.54883372328107,0.37621888518333435,0.40078985691070557,0.30068522691726685
350.0,22.75347798579503,0.48405390977859497,0.44446349143981934,0.337740421295166
360.0,29.21971345109961,0.3491351902484894,0.37938234210014343,0.25133800506591797
370.0,26.85665604127054,0.46174156665802,0.3716994524002075,0.24658381938934326
380.0,27.149732805837857,0.29820677638053894,0.3593321442604065,0.2804507613182068
390.0,25.405862391648757,0.3540869355201721,0.3758540153503418,0.3209158778190613
400.0,31.6667124266214,0.23685641586780548,0.37856340408325195,0.28410542011260986
410.0,25.69802834254666,0.336843878030777,0.40683454275131226,0.33728212118148804
420.0,27.10044756831411,0.3949526250362396,0.3669489622116089,0.27453768253326416
430.0,22.22998823565983,0.0920930951833725,0.5760608911514282,0.37117958068847656
440.0,23.708396327643673,0.3657163083553314,0.43083399534225464,0.3007335662841797
450.0,25.082526347988466,0.42366719245910645,0.39886611700057983,0.28919100761413574
460.0,21.828632510364592,0.34439459443092346,0.4777146577835083,0.2954874038696289
470.0,20.227399581799187,0.44987887144088745,0.4311106204986572,0.33892059326171875
480.0,23.715352117363278,0.48104605078697205,0.37875908613204956,0.3553745150566101
490.0,22.692652528217213,0.4501846730709076,0.424822598695755,0.34758371114730835
500.0,26.521030581463407,0.35012727975845337,0.40328192710876465,0.268734335899353
510.0,22.5423238763576,0.40951794385910034,0.4800814390182495,0.29711514711380005
520.0,26.404740136682147,0.32136738300323486,0.39469078183174133,0.2902987003326416
530.0,22.3215234438022,0.4324720501899719,0.48434239625930786,0.3312501311302185
540.0,26.498389102715908,0.5135090351104736,0.3199538290500641,0.2541300058364868
550.0,24.693469423425608,0.4636669158935547,0.4434416890144348,0.3448188304901123
