epoch,gen_loss,disc_loss,psnr,ssim
1,0.11940305,1.0751305e-06,3.4100707,0.000335233
2,0.12249939,4.9564375e-09,2.955869,0.0005509482
3,0.15224707,3.839129e-05,2.065353,0.0009909484
4,0.12943596,1.988149e-06,1.5581685,0.0015933723
5,0.10133461,0.05572297,1.3409401,0.0012113465
6,0.15150382,1.5896737e-09,1.1520311,0.007642586
7,0.12250952,25.775082,0.039295338,0.0063644936
8,0.14698237,9.941011e-12,0.48992568,0.010093185
9,0.19628325,1.2714958e-08,0.4322954,0.0030857672
10,0.1084581,6.324537e-05,0.44208091,0.008498838
11,0.13884662,1.978604e-15,0.3103949,0.008410514
12,0.2464315,1.727284e-31,1.6043297,0.008346397
13,0.1499311,2.153717e-15,0.85823715,0.010718775
14,0.17259803,2.004352e-10,1.7127241,0.011496177
15,0.19945017,1.7895958e-29,1.2958944,0.01039681
16,0.12883292,5.6414834e-10,1.1043991,0.0154140005
17,0.13493058,1.3901806e-07,1.5187582,0.01088387
18,0.13018009,2.9077596e-11,1.7164508,0.013170433
19,0.117363155,6.711913e-05,3.1624937,0.008224001
20,0.103638545,1.00534505e-08,3.947603,0.0051321383
21,0.1585423,1.0459587e-29,4.086466,0.009751647
22,0.14677495,0.004161719,4.6425133,0.012355495
23,0.1248656,2.6637845e-11,5.732821,0.019146618
24,0.11539559,0.012130872,6.5254674,0.027883975
25,0.12283906,4.150258,6.3775024,0.03417017
26,0.13418584,0.0011747692,5.74101,0.031004805
27,0.15417378,0.6077686,5.405667,0.030269641
28,0.09482373,1.9891495e-09,6.1102004,0.034013715
29,0.10033878,2.0520887,6.686436,0.041313093
30,0.090831906,4.327664e-07,6.8967314,0.04229806
31,0.10616315,4.471203e-08,7.203337,0.047640204
32,0.10522787,1.2996527e-11,6.715252,0.04797491
33,0.11178067,4.930739,7.122909,0.04465124
34,0.124071196,0.005901204,7.343441,0.05488526
35,0.09772537,0.0033088431,7.168989,0.05614719
36,0.093208574,7.6259875,7.264994,0.0567976
37,0.10111043,0.00033670067,7.3184237,0.056697406
