epoch,gen_loss,disc_loss,psnr,ssim
1,0.108850506,0.000441322,4.287284942,0.000724017
2,0.114881796,5.62E-07,1.069908724,0.000336414
3,0.092065483,5.278506,0.462723214,0.004026636
4,0.103762677,0.030651353,-0.640220177,-0.001241097
5,0.136288093,0.006553746,0.05848085,0.007824841
1,0.179051318,15.18447876,2.649497668,0.00187502
2,0.097822877,7.524164677,0.957862647,0.002676971
3,0.091971919,0.116401151,1.467008428,0.002909708
4,0.129531854,3.59E-17,0.644999301,0.000391518
5,0.09268584,0.029205134,1.263815352,0.007260269
6,0.089199163,1.672721267,1.202976837,0.002940349
7,0.142897184,1.26E-18,2.942135166,0.009551253
8,0.091798082,0.007053325,3.025742043,0.021025286
9,0.108776968,1.53E-06,2.498808833,0.03473903
10,0.110429828,3.45E-05,5.142607604,0.042910094
11,0.098863648,2.11E-10,5.642128319,0.041381847
12,0.099820877,2.242747307,4.479307106,0.064697178
13,0.124768468,23.84626961,4.797237304,0.046297819
14,0.108402582,1.32E-08,5.632707146,0.043857903
15,0.087766856,1.39E-05,7.240050895,0.057572769
16,0.10604283,2.79E-09,7.8896852,0.062851335
17,0.10399583,4.51E-06,6.658295865,0.024321865
18,0.101017244,1.70E-05,6.495054669,0.02046998
19,0.087844891,5.82E-06,7.148426183,0.028161729
20,0.09697189,0.357955962,7.152095807,0.030077888
21,0.108517693,2.22E-16,8.273080241,0.058606941
22,0.090422738,0.002885235,10.38838707,0.113507373
23,0.102200935,1.005329132,11.2661312,0.149436677
24,0.09961155,1.04E-10,11.95745776,0.180053708
25,0.068281213,1.488806963,10.99910382,0.165244593
26,0.089149539,1.51E-11,10.23985695,0.132478881
27,0.066087619,0.008297769,11.86061736,0.193946563
28,0.059968792,7.970583439,12.76323479,0.238364416
29,0.07883703,0.05035457,12.10712599,0.218119647
30,0.08166922,5.43E-10,12.65764669,0.236333671
31,0.049216842,0.684906483,12.14557466,0.223995522
32,0.102587708,14.02214718,12.19048636,0.211706318
33,0.075054654,0.010786613,12.92690565,0.240383771
34,0.083011579,7.95E-09,13.21189312,0.244261277
35,0.076934464,0.002638649,12.8952688,0.242378645
36,0.067671326,2.799454689,12.45357437,0.236387548
37,0.101060371,0.060689282,12.3373968,0.213801158
38,0.057411364,0.000122451,12.38695029,0.206763607
39,0.067482143,0.044217274,12.28012147,0.200247279
40,0.084649908,1.36E-05,11.62107263,0.185037433
41,0.114979211,5.51E-14,10.90883266,0.158645259
42,0.055611016,0.000141301,11.51817594,0.175571565
43,0.071351127,1.80E-09,10.94721254,0.143630608
44,0.04734094,7.527040005,10.79904087,0.133819252
45,0.069539677,0.004209363,11.01636028,0.144494099
46,0.069733516,7.08E-05,11.73836781,0.179957184
47,0.059879906,0.420759201,13.27349041,0.23593883
48,0.05195384,0.000453718,13.20361128,0.234616838
49,0.050149709,0.228230625,12.71219922,0.218356885
50,0.097679632,9.12E-23,13.20959877,0.233614132
51,0.073890739,1.84E-13,13.21251468,0.227746027
52,0.344888793,0.000541755,13.03098511,0.223450014
53,0.075696979,2.91E-09,12.75392344,0.221583348
54,0.071815879,8.40E-14,13.02351311,0.232953988
55,0.050886954,0.001124035,13.05211336,0.233084803
56,0.066675338,3.51E-13,12.97199477,0.231927387
57,0.120525898,3.33E-28,12.92228316,0.232652388
58,0.074613253,7.58E-16,13.32784138,0.242142206
59,0.086091594,1.17E-21,13.08067498,0.23208263
60,0.041599903,19.29479218,13.21341504,0.237014342
61,0.045511996,0.000657556,13.12928707,0.239157433
62,0.077503419,2.24E-17,13.04034111,0.23221788
63,0.076861397,3.13E-10,12.94376625,0.227764778
64,0.059718017,3.21E-09,12.86090795,0.226796755
65,0.082562959,0.019865662,13.01372865,0.232556503
66,0.050072592,0.01026541,12.80786045,0.223845033
67,0.086167846,0.001111794,13.06537251,0.233791658
68,0.051283651,2.98E-06,12.9178393,0.228061357
69,0.073184519,3.64E-10,12.75298084,0.224438829
70,0.049457358,2.42E-05,13.02014099,0.231931341
71,0.033399676,6.560989857,13.24239185,0.238060546
72,0.185885291,0,13.24151321,0.239737819
73,0.129202244,0,13.28693544,0.242918991
74,0.113522229,2.70E-21,13.28263399,0.241327864
75,0.072162739,4.19E-08,13.49709543,0.246899709
76,0.054427286,0.036537256,13.62643439,0.251017559
77,0.044731615,7.46E-06,13.40051572,0.244935933
78,0.137792337,1.25E-20,13.38796864,0.246586844
79,0.038272936,0.000400034,13.49524884,0.250054342
80,0.056896001,0.051247682,13.58901401,0.253446515
81,0.040390792,5.63E-06,13.5857131,0.253627375
82,0.038241534,3.80E-05,13.50822559,0.251193611
83,0.115333552,6.05E-33,13.52800209,0.251290153
84,0.037904028,1.19E-05,13.60274387,0.253362622
85,0.042679689,0.000123051,13.613623,0.255112043
86,0.03352873,8.92E-06,13.5827634,0.253832734
87,0.048934474,5.71E-06,13.59334443,0.255042911
88,0.026555913,3.615691662,13.61158453,0.255460087
89,0.091331015,1.87E-13,13.77929372,0.262813854
90,0.054122884,0.00161427,13.65863246,0.260703847
91,0.045216954,0.000161172,13.71802954,0.262130257
92,0.03128565,0.00168196,13.58526292,0.258738688
93,0.028927437,0.00583991,13.71115374,0.262734254
94,0.045116106,1.094022393,13.62729975,0.259784253
95,0.101106414,1.461360574,13.74911602,0.263818848
96,0.10568454,5.04E-22,13.81940551,0.266311917
97,0.102629193,1.96E-33,13.70028186,0.261602898
98,0.034886445,1.31E-05,13.83337916,0.266977153
99,0.052695959,1.66E-12,13.83204312,0.266093519
100,0.06856905,1.36E-18,13.55571887,0.258141946
101,0.042238378,1.42E-06,13.59684206,0.260568189
102,0.041652072,0.173627198,13.53899465,0.258792866
103,0.045756093,4.69E-05,13.46702395,0.255849907
104,0.047620755,0.007786063,13.71320912,0.262545056
105,0.031031919,0.071453214,13.7909163,0.265210967
106,0.034010863,9.97E-06,13.86404806,0.268112981
107,0.031111597,0.000184861,13.82194485,0.266375587
108,0.124983781,2.28E-23,13.83597766,0.267381681
109,0.030209145,0.001728794,13.7643316,0.265105449
110,0.024053191,0.000928534,13.69451161,0.262290538
111,0.032604645,0.000502151,13.59376322,0.260356727
112,0.032199341,0.000133205,13.55227675,0.258700263
113,0.038155298,0.023925081,13.55542318,0.258015246
114,0.028241297,0.005527057,13.58508551,0.258701983
115,0.019334644,0.038508303,13.6308348,0.262527121
116,0.019847265,0.057374358,13.81276869,0.270010994
117,0.021839296,0.014985083,13.79926573,0.271087516
118,0.020918668,0.021988142,13.67476045,0.266871085
119,0.023510504,0.014627873,13.4230983,0.260175387
120,0.030824575,0.003644922,13.213024,0.257712512
121,0.043382666,3.66E-10,13.14604026,0.257680757
122,0.029546701,0.001113552,13.14939427,0.25739656
123,0.040922792,2.94E-09,13.21051965,0.256681333
124,0.031811758,2.61E-06,13.39705067,0.259950851
125,0.120160911,6.639465809,13.7413954,0.269075523
126,0.024264021,0.04419218,13.81911947,0.274808981
127,0.101502345,8.28E-16,13.88160504,0.278799225
128,0.025054448,5.03E-05,13.88800652,0.281271627
129,0.033602688,1.31E-06,13.91094634,0.283616763
130,0.049382504,1.54E-08,13.81884189,0.280755905
131,0.060608704,1.20E-12,13.75586267,0.275878567
132,0.032046487,9.02E-06,13.85323049,0.277317749
133,0.031486797,6.02E-09,13.93257908,0.282015647
134,0.045919574,0.153371423,13.93033542,0.283389157
135,0.025062609,1.76E-06,13.94158628,0.284065906
136,0.028895954,0.019906849,13.95280092,0.283832464
137,0.018299332,0.002146411,13.91352552,0.280988531
138,0.023705387,0.013688891,13.956027,0.284257428
139,0.019743567,0.000336926,14.00701069,0.287683698
140,0.018919563,0.004144541,13.96745045,0.286387056
141,0.064891959,1.21E-17,13.91381035,0.284245507
142,0.016799807,0.003457319,13.97548126,0.286865914
143,0.015685026,0.003277024,13.94336526,0.28389482
144,0.016154007,0.010663065,13.93699639,0.284479517
145,0.017660611,0.04061747,13.99235755,0.28677599
146,0.022580775,0.004889661,13.99307927,0.287665868
147,0.017059113,0.067035928,13.86444032,0.280705044
148,0.019597083,0.005420725,13.93117906,0.28391476
149,0.02156062,0.000599515,13.94177213,0.283196109
150,0.024916412,0.000286448,13.88038606,0.280049707
151,0.023082772,0.000548742,13.83527643,0.277893789
152,0.017525132,0.000834911,13.75839358,0.274807899
153,0.01875749,0.005394039,13.67643565,0.27146224
154,0.020403807,0.002806233,13.60078384,0.267866713
155,0.025366119,0.000680068,13.53422131,0.265006157
156,0.027378593,1.29E-05,13.44192736,0.261938664
157,0.020551652,0.037838027,13.41346592,0.262720044
158,0.017126177,0.049530804,13.69963495,0.272443676
159,0.016595002,0.225298211,13.8694297,0.283489707
160,0.017883274,0.000162168,13.86466842,0.284994654
161,0.015855117,0.002850961,13.97192086,0.289409933
162,0.022079926,0.000366315,13.94987536,0.288918
163,0.035053151,8.81E-09,13.87983572,0.286145009
164,0.018409775,0.001518514,13.82965825,0.284635948
165,0.021434099,0.00163144,13.69037188,0.281204091
166,0.020627886,8.18E-06,13.4729861,0.278369028
167,0.019582548,0.00281587,13.51955851,0.28276687
168,0.019296121,0.030783582,13.99867453,0.293418273
169,0.014367444,0.007205536,14.08555305,0.298658946
170,0.016945009,0.001543494,14.14780931,0.302115214
171,0.015761683,0.001978197,14.09028537,0.299858851
172,0.047913904,6.36E-10,13.99021406,0.295616927
173,0.015440375,0.003471053,13.93863296,0.29213176
174,0.018030512,0.000467087,13.89759305,0.290036637
175,0.021302415,0.000560313,13.85059338,0.28902751
176,0.021695497,0.000159249,13.74800204,0.287357847
177,0.046383732,1.99E-08,13.4676105,0.28558657
178,0.033331529,4.50E-08,13.27879479,0.286588175
179,0.010482164,1.036890626,13.70567194,0.287650736
180,0.014738366,0.019116256,14.00254872,0.296873494
181,0.013649567,0.007620072,14.0503534,0.300094404
182,0.020343497,0.00485843,14.03420247,0.299690213
183,0.016042016,0.002459747,14.03128414,0.298621869
184,0.020083919,0.064669758,14.02449646,0.299144634
185,0.01510163,0.001614632,14.05463312,0.299829225
186,0.016190243,0.005232973,14.03753355,0.298416581
187,0.020492422,9.32E-07,13.98883214,0.296682735
188,0.016824739,0.006025278,13.95025434,0.294259668
189,0.014558922,0.004241184,13.90912148,0.292693483
190,0.01693214,0.000489542,13.88502303,0.290557629
191,0.014737554,0.00195434,13.8610513,0.289380076
192,0.014838913,0.000883502,13.84182394,0.288060213
193,0.020414849,4.23E-05,13.85763091,0.288366443
194,0.01495057,0.003770188,13.85646141,0.288637245
195,0.015703429,0.106885366,13.88042107,0.291615666
196,0.010425572,1.006564617,13.98738022,0.29874424
197,0.01520486,0.012855307,14.07643723,0.302838371
198,0.015239084,0.020685164,14.10302796,0.305795397
199,0.019836709,0.003639012,14.14116646,0.307428905
200,0.017589992,0.000166494,14.13471912,0.306847633
201,0.015489201,0.025523026,14.11488348,0.305787023
202,0.014240914,0.015638214,14.05474777,0.302762976
203,0.019133212,0.0061266,14.02042554,0.301395142
204,0.017190394,0.006540732,14.09445405,0.303672297
205,0.015506864,0.00563411,14.12903455,0.306070439
206,0.018722186,0.00050074,14.16920067,0.307136548
207,0.017067369,0.020863855,14.19678107,0.308829627
208,0.0140596,0.040325128,14.21037333,0.309529404
209,0.018655175,3.97E-05,14.15628548,0.307048947
210,0.042732193,5.53E-05,14.19030597,0.308116901
211,0.020443577,5.13E-05,14.18979424,0.307608789
212,0.019756451,9.00E-05,14.21710429,0.310578447
213,0.017579006,0.011096742,14.17028446,0.308859502
214,0.017807684,0.000800286,14.12310136,0.306736083
215,0.019164532,0.000986303,14.05850127,0.303672688
216,0.01488386,0.014887899,14.14577084,0.308170051
217,0.01630902,0.022331832,14.1267028,0.30653044
218,0.014783642,0.01291023,14.16622924,0.308589356
219,0.012210926,0.008334621,14.2166517,0.310826489
220,0.013896058,0.007948793,14.2275248,0.312227885
221,0.014367874,0.005693349,14.22675478,0.311413402
222,0.019437664,5.49E-05,14.22663772,0.312239417
223,0.015938036,0.025012439,14.15032694,0.308369768
224,0.016188306,0.002710441,14.23196744,0.31239702
225,0.051807126,3.45E-13,14.23435231,0.31335321
226,0.014518768,0.000501511,14.24901029,0.313800226
227,0.015544271,0.03285734,14.21757016,0.3124887
228,0.015880656,0.000160027,14.1817393,0.310553114
229,0.016373972,0.016698841,14.20944522,0.311825433
230,0.023806436,1.38E-06,14.18624953,0.310800518
231,0.018776365,0.009144038,14.18509935,0.311599992
232,0.010374474,0.152991548,14.20377755,0.314625495
233,0.011249352,0.04999407,14.17640352,0.312843466
234,0.012737609,0.049695633,14.14691257,0.311515337
235,0.017325634,0.000316988,14.13836279,0.311486988
236,0.012446655,0.092451125,14.24462195,0.316145608
237,0.017330558,0.003221793,14.26322653,0.316099946
238,0.013582349,0.002206834,14.20880918,0.313876579
239,0.012100182,0.002824337,14.15180781,0.310099463
240,0.012463442,0.006597849,14.13271926,0.309556723
241,0.013212224,0.004634953,14.10645319,0.306983558
242,0.01553575,0.000211001,14.09381558,0.306145976
243,0.033396895,1.50E-08,14.05317636,0.303743009
244,0.017033002,0.003212333,14.04688593,0.303855163
245,0.01675499,0.000273798,14.02912256,0.303019994
246,0.016096802,0.001473062,14.02425267,0.302765565
247,0.017014592,0.000769541,14.01203628,0.302063448
248,0.019275688,0.00065903,14.03463454,0.303445899
249,0.017620477,6.04E-05,14.04099015,0.304078474
250,0.021884603,1.17E-06,14.07403667,0.306230207
251,0.027918383,7.439183712,14.07531963,0.307766109
252,0.02465457,0.006593127,14.08609012,0.31348541
253,0.018668563,1.195875406,14.16864427,0.318532041
254,0.01289074,0.01061426,14.19310119,0.320640382
255,0.028873167,4.67E-05,14.27080716,0.323814546
256,0.011492418,0.00322341,14.24000187,0.322569689
257,0.011828166,0.006711109,14.25188516,0.322663214
258,0.025709198,0.000613864,14.26583346,0.323156992
259,0.02881315,0.011314013,14.30580887,0.324443895
260,0.015040669,0.004904515,14.31697405,0.325090166
261,0.029852543,0.047510613,14.29606546,0.322807973
262,0.03576853,2.67E-12,14.2706756,0.321773513
263,0.013493533,0.022950228,14.199108,0.318417724
264,0.018605787,0.00042464,14.18459969,0.317755487
265,0.021904082,1.67E-06,14.14435875,0.314324232
266,0.011636149,0.007083468,14.16667942,0.313893148
267,0.016985551,0.001876014,14.16155003,0.313067737
268,0.018310511,0.003074359,14.16383592,0.312348909
269,0.017379434,3.70E-05,14.15695531,0.31235934
270,0.009937561,0.082903743,14.23179606,0.316204754
271,0.017507562,0.000471723,14.18349173,0.315798754
272,0.010885715,0.006823106,14.25133118,0.318230176
273,0.019080806,3.04E-05,14.26003666,0.318764331
274,0.048495472,3.75E-12,14.25013151,0.318788458
275,0.016209613,0.000452157,14.25215068,0.318727502
276,0.012525323,0.001769768,14.27344186,0.319983536
277,0.01987683,7.61E-05,14.35668273,0.3253177
